userName,date,rating,like,title,review,content,content_n,cotent_n_spell
kani1017,2022-07-07 02:19:52-07:00,5,0,편해요,지금처럼 더울때 무거운 세탁물 들고 왔다갔다 안해도 되는점이 제일 좋네요,편해요 지금처럼 더울때 무거운 세탁물 들고 왔다갔다 안해도 되는점이 제일 좋네요,"['편해요', '지금처럼 더울 때 무거운 세탁물 들고 왔다 갔다 안 해도 되는 점이 제일 좋네요']","['편해요', '지금처럼 더울 때 무거운 세탁물 들고 왔다 갔다 안 해도 되는 점이 제일 좋네요']"
마크변,2022-07-06 23:56:53-07:00,5,0,추천합니다,너무 편해요 ㅎㅎㅎ,추천합니다 너무 편해요 ㅎㅎㅎ,"['추천합니다', '너무 편해요']","['추천합니다', '너무 편해요']"
포니1329,2022-07-06 23:35:41-07:00,5,0,런드리고 최고!,런드리고 이용해봤는데 정말 새 옷처럼 만들어주시네요! 동네 세탁소와는 차원이 다른 세탁 품질 강추드립니다! 특히 세탁 후 포장을 너무 깔끔하게 해주셔서 기분도 좋아요 앞으로 자주 애용할게요 ~~,런드리고 최고! 런드리고 이용해봤는데 정말 새 옷처럼 만들어주시네요! 동네 세탁소와는 차원이 다른 세탁 품질 강추드립니다! 특히 세탁 후 포장을 너무 깔끔하게 해주셔서 기분도 좋아요 앞으로 자주 애용할게요 ~~,"['런드리고 최고 런드리고 이용해봤는데 정말 새 옷처럼 만들어주시네요', '동네 세탁소와는 차원이 다른 세탁 품질 강추 드립니다 특히 세탁 후 포장을 너무 깔끔하게 해주셔서 기분도 좋아요', '앞으로 자주 애용할게요']","['런드리고 최고 런드리고 이용해봤는데 정말 새 옷처럼 만들어주시네요', '동네 세탁소와는 차원이 다른 세탁 품질 강추 드립니다 특히 세탁 후 포장을 너무 깔끔하게 해주셔서 기분도 좋아요', '앞으로 자주 애용할게요']"
파곤하다,2022-07-06 23:08:30-07:00,5,0,오오 향기가 제타입,향기까지 맘에 쏙드는 서비스 굿 배송도 굿,오오 향기가 제타입 향기까지 맘에 쏙드는 서비스 굿 배송도 굿,['오오 향기가 제 타입 향기까지 맘에 쏙 드는 서비스 굿 배송도 굿'],['오오 향기가 제 타입 향기까지 맘에 쏙 드는 서비스 굿 배송도 굿']
브루찡,2022-07-06 21:28:32-07:00,5,0,런드리고 최고입니당,"런드리고 1년 넘게 이용중이에요~~
자취방이 빨래 널기에는 너무 좁아서 빨래가 항상 스트레스였는데 이렇게 좋은 서비스가 있어서 정말 편리하고 좋네요!👏🏻👏🏻
집에 냥이가 가끔 이불에 오줌 테러하면 이불 빨래때문에 걱정이었는데 이제는 바로 런드리고 보내버리니까 걱정이 안되구 바쁠때는 생활빨래도 다 보내버려용 집에서 세탁하는것보다 더 뽀송하니 런드리고 시그니처 향까지 나서 기분도 좋아요!!
앞으로도 꾸준히 이용 예정입니당~~ 저희 회사 직원들도 제가 추천해서 벌써 두명이나 런드리고에 빠졌답니당😆","런드리고 최고입니당 런드리고 1년 넘게 이용중이에요~~
자취방이 빨래 널기에는 너무 좁아서 빨래가 항상 스트레스였는데 이렇게 좋은 서비스가 있어서 정말 편리하고 좋네요!👏🏻👏🏻
집에 냥이가 가끔 이불에 오줌 테러하면 이불 빨래때문에 걱정이었는데 이제는 바로 런드리고 보내버리니까 걱정이 안되구 바쁠때는 생활빨래도 다 보내버려용 집에서 세탁하는것보다 더 뽀송하니 런드리고 시그니처 향까지 나서 기분도 좋아요!!
앞으로도 꾸준히 이용 예정입니당~~ 저희 회사 직원들도 제가 추천해서 벌써 두명이나 런드리고에 빠졌답니당😆","['런드리고 최고입니다', '런드리고 년 넘게 이용 중이에요', '자취방이 빨래 널기에는 너무 좁아서 빨래가 항상 스트레스였는데 이렇게 좋은 서비스가 있어서 정말 편리하고 좋네요', '집에 냥이가 가끔 이불에 오줌 테러하면 이불 빨래 때문에 걱정이었는데 이제는 바로 런드리고 보내버리니까 걱정이 안되고 바쁠 때는 생활 빨래도 다 보내버려요 집에서 세탁하는 것보다 더 뽀송하니 런드리고 시그니처 향까지 나서 기분도 좋아요', '앞으로도 꾸준히 이용 예정입니다', '저희 회사 직원들도 제가 추천해서 벌써 두 명이나 런드리고에 빠졌답니다']","['런드리고 최고입니다', '런드리고 년 넘게 이용 중이에요', '자취방이 빨래 널기에는 너무 좁아서 빨래가 항상 스트레스였는데 이렇게 좋은 서비스가 있어서 정말 편리하고 좋네요', '집에 냥이가 가끔 이불에 오줌 테러하면 이불 빨래 때문에 걱정이었는데 이제는 바로 런드리고 보내버리니까 걱정이 안되고 바쁠 때는 생활 빨래도 다 보내버려요 집에서 세탁하는 것보다 더 뽀송하니 런드리고 시그니처 향까지 나서 기분도 좋아요', '앞으로도 꾸준히 이용 예정입니다', '저희 회사 직원들도 제가 추천해서 벌써 두 명이나 런드리고에 빠졌답니다']"
혼히히,2022-07-06 21:23:22-07:00,5,0,애빨래 남편빨래 색깔빨래,이 날씨에 빨래만 하루종일 하다가 진심 때려치고 싶었는데 문 앞에 걸어 놓으면 다음날 밤에 가져다주니 넘 좋아요 드라이클리닝같은 것도 세탁소로 찾으러 가지 않아도 되고 세상 편해졌어요~~,애빨래 남편빨래 색깔빨래 이 날씨에 빨래만 하루종일 하다가 진심 때려치고 싶었는데 문 앞에 걸어 놓으면 다음날 밤에 가져다주니 넘 좋아요 드라이클리닝같은 것도 세탁소로 찾으러 가지 않아도 되고 세상 편해졌어요~~,"['애빨래 남편 빨래 색깔 빨래 이 날씨에 빨래만 하루 종일 하다가 진심 때려치우고 싶었는데 문 앞에 걸어 놓으면 다음날 밤에 가져다주니 너무 좋아요', '드라이클리닝 같은 것도 세탁소로 찾으러 가지 않아도 되고 세상 편해졌어요']","['애빨래 남편 빨래 색깔 빨래 이 날씨에 빨래만 하루 종일 하다가 진심 때려치우고 싶었는데 문 앞에 걸어 놓으면 다음날 밤에 가져다주니 너무 좋아요', '드라이클리닝 같은 것도 세탁소로 찾으러 가지 않아도 되고 세상 편해졌어요']"
사나래,2022-07-06 20:30:45-07:00,5,0,진짜 너무 편하고 좋아요,"직접 배송에 하나하나 사진찍어서 세탁물 확인해주시고, 이상있는 부분 체크까지 완벽하네요 번창하세요 ^^","진짜 너무 편하고 좋아요 직접 배송에 하나하나 사진찍어서 세탁물 확인해주시고, 이상있는 부분 체크까지 완벽하네요 번창하세요 ^^","['진짜 너무 편하고 좋아요', '직접 배송에 하나하나 사진 찍어서 세탁물 확인해주시고 이상 있는 부분 체크까지 완벽하네요 번창하세요']","['진짜 너무 편하고 좋아요', '직접 배송에 하나하나 사진 찍어서 세탁물 확인해주시고 이상 있는 부분 체크까지 완벽하네요 번창하세요']"
쥬쥬우우,2022-07-06 20:25:19-07:00,5,0,편안하게 살자,여름철 특히나 귀찮고 문제많은 빨래를 편안하게 해결하고 있습니다,편안하게 살자 여름철 특히나 귀찮고 문제많은 빨래를 편안하게 해결하고 있습니다,['편안하게 살자 여름철 특히나 귀찮고 문제 많은 빨래를 편안하게 해결하고 있습니다'],['편안하게 살자 여름철 특히나 귀찮고 문제 많은 빨래를 편안하게 해결하고 있습니다']
다라파,2022-07-06 20:04:44-07:00,5,0,런드리고 이용후 편해졌어요 !!,솔직히 빨래 안한다고 얼마나 집안일 편해질까 했었는데 와..신세계네요 오늘신청하면 당일수거 되고 다음날 빨래되어오니 넘 좋아요 !!정말 신세계 영접 ㅎ,런드리고 이용후 편해졌어요 !! 솔직히 빨래 안한다고 얼마나 집안일 편해질까 했었는데 와..신세계네요 오늘신청하면 당일수거 되고 다음날 빨래되어오니 넘 좋아요 !!정말 신세계 영접 ㅎ,"['런드리고 이용 후 편해졌어요', '솔직히 빨래 안 한다고 얼마나 집안일 편해질까 했었는데 와 신세계네요 오늘 신청하면 당일 수거 되고 다음날 빨래되어오니 너무 좋아요', '정말 신세계 영접']","['런드리고 이용 후 편해졌어요', '솔직히 빨래 안 한다고 얼마나 집안일 편해질까 했었는데 와 신세계네요 오늘 신청하면 당일 수거 되고 다음날 빨래되어오니 너무 좋아요', '정말 신세계 영접']"
그린피야내려라,2022-07-06 19:23:15-07:00,5,0,세탁소 유목민 드디어 정착,집 근처 세탁소들은 오래걸리기도 하고 옷이 망가지는 경우가 여러번 있었는데 런드리고는 세탁도 빠르고 무엇보다 세탁으로 옷이 상하는 느낌이 들지 않아 매우 만족하고 있습니당~!,세탁소 유목민 드디어 정착 집 근처 세탁소들은 오래걸리기도 하고 옷이 망가지는 경우가 여러번 있었는데 런드리고는 세탁도 빠르고 무엇보다 세탁으로 옷이 상하는 느낌이 들지 않아 매우 만족하고 있습니당~!,['세탁소 유목민 드디어 정착 집 근처 세탁소들은 오래 걸리기도 하고 옷이 망가지는 경우가 여러 번 있었는데 런드리고는 세탁도 빠르고 무엇보다 세탁으로 옷이 상하는 느낌이 들지 않아 매우 만족하고 있습니다'],['세탁소 유목민 드디어 정착 집 근처 세탁소들은 오래 걸리기도 하고 옷이 망가지는 경우가 여러 번 있었는데 런드리고는 세탁도 빠르고 무엇보다 세탁으로 옷이 상하는 느낌이 들지 않아 매우 만족하고 있습니다']
kikixxx5757,2022-07-06 18:57:39-07:00,2,0,미수거에 대한 처리 지연,호수를 잘못 찾아가셔서 미수거 되어 상담했는데 그에 대한 조치도 이루어지지 않아 재차 상담을 해야하는 불편함이 있음. 런드리고 사용 중 이런 처리가 제대로 되지않는 경우가 종종 있었음.,미수거에 대한 처리 지연 호수를 잘못 찾아가셔서 미수거 되어 상담했는데 그에 대한 조치도 이루어지지 않아 재차 상담을 해야하는 불편함이 있음. 런드리고 사용 중 이런 처리가 제대로 되지않는 경우가 종종 있었음.,"['미수 거에 대한 처리 지연 호수를 잘못 찾아가셔서 미수 거 되어 상담했는데 그에 대한 조치도 이루어지지 않아 재차 상담을 해야 하는 불편함이 있음', '런드리고 사용 중 이런 처리가 제대로 되지 않는 경우가 종종 있었음']","['미수 거에 대한 처리 지연 호수를 잘못 찾아가셔서 미수 거 되어 상담했는데 그에 대한 조치도 이루어지지 않아 재차 상담을 해야 하는 불편함이 있음', '런드리고 사용 중 이런 처리가 제대로 되지 않는 경우가 종종 있었음']"
새우꽝끵,2022-07-06 16:59:02-07:00,5,0,간편하고 좋아요!!,항상 잘 이용하고 있습니다!!,간편하고 좋아요!! 항상 잘 이용하고 있습니다!!,"['간편하고 좋아요', '항상 잘 이용하고 있습니다']","['간편하고 좋아요', '항상 잘 이용하고 있습니다']"
윈그릿,2022-07-06 16:35:37-07:00,5,0,런드리고 너무 편해요,"아기키우는 직장맘이라 세탁소 갈 시간도 없는 현실 ㅜ
매번 드라이 수선 맡기고 찾는게 스트레스 였는데
런드리고 알고나서 삶의 질이 올라갔어요","런드리고 너무 편해요 아기키우는 직장맘이라 세탁소 갈 시간도 없는 현실 ㅜ
매번 드라이 수선 맡기고 찾는게 스트레스 였는데
런드리고 알고나서 삶의 질이 올라갔어요","['런드리고 너무 편해요', '아기 키우는 직장 맘이라 세탁소 갈 시간도 없는 현실 매번 드라이 수선 맡기고 찾는 게 스트레스였는데 런드리고 알고 나서 삶의 질이 올라갔어요']","['런드리고 너무 편해요', '아기 키우는 직장 맘이라 세탁소 갈 시간도 없는 현실 매번 드라이 수선 맡기고 찾는 게 스트레스였는데 런드리고 알고 나서 삶의 질이 올라갔어요']"
